name,hero,company,price,pagecount,pubDate,ratio
Old Man Logan - Warzones,Wolverine,Marvel,17.99,120,November-2015,0.149916667
Old Man Logan - Warzones,Wolverine,Marvel,17.99,120,November-2015,0.149916667
Secret Wars 2099,Other,Marvel,16.99,112,November-2015,0.151696429
Spider Gwen,Spider-Man,Marvel,16.99,136,November-2015,0.124926471
Spider-Island,Spider-Man,Marvel,17.99,120,November-2015,0.149916667
Superman: Earth One,Superman,DC,14.99,136,November-2015,0.110220588
The Unbeatable Squirrel Girl: Squirrel You,Squirrel Girl,Marvel,14.99,112,November-2015,0.133839286
Uncanny X-Men: The Omega Mutant,X-Men,Marvel,19.99,136,November-2015,0.146985294
X-Men: Years of Future Past,X-Men,Marvel,16.99,120,November-2015,0.141583333
Amazing Spider-Man Renew Your Vows,Spider-Man,Marvel,17.99,136,December-2015,0.132279412
Future Imperfect,X-Men,Marvel,17.99,120,December-2015,0.149916667
Hail Hydra,Other,Marvel,16.99,112,December-2015,0.151696429
Inferno,Other,Marvel,16.99,112,December-2015,0.151696429
Infinity Gauntlet,Other,Marvel,16.99,112,December-2015,0.151696429
Jessica Jones Alias 1,Jessica Jones,Marvel,24.99,208,December-2015,0.120144231
Jessica Jones Alias 3,Jessica Jones,Marvel,24.99,176,December-2015,0.141988636
MODOK Assassin,Modok,Marvel,16.99,112,December-2015,0.151696429
Nova: Homecoming,Nova,Marvel,16.99,120,December-2015,0.141583333
Planet Hulk,Hulk,Marvel,17.99,120,December-2015,0.149916667
Spider-Verse,Spider-Man,Marvel,17.99,120,December-2015,0.149916667
Squadron Sinister,Other,Marvel,16.99,136,December-2015,0.124926471
Superior Iron Man: Infamous,Iron Man,Marvel,19.99,136,December-2015,0.146985294
Weirdworld - Secret Wars: Warzones,Other,Marvel,16.99,112,December-2015,0.151696429
Where Monsters Dwell,Other,Marvel,16.99,112,December-2015,0.151696429
All-New X-Men: The Utopians,X-Men,Marvel,19.99,136,January-2016,0.146985294
Armor Wars,Other,Marvel,16.99,136,January-2016,0.124926471
Deadpool's Secret Secret Wars,Deadpool,Marvel,15.95,112,January-2016,0.142410714
House of M,Magneto,Marvel,15.99,120,January-2016,0.13325
Spider-Woman: New Duds,Spider-Woman,Marvel,17.99,136,January-2016,0.132279412
Thor: The Goddess of Thunder,Thor,Marvel,19.99,136,January-2016,0.146985294
1602 Witch Hunter Angela,Angela,Marvel,15.99,128,February-2016,0.124921875
All-New Captain America: Hydra Ascendant,Captain America,Marvel,19.99,136,February-2016,0.146985294
Civil War: Warzones,Other,Marvel,16.99,120,February-2016,0.141583333
E is for Extinction,X-Men,Marvel,15.99,120,February-2016,0.13325
X-Tinction Agenda,X-Men,Marvel,15.99,112,February-2016,0.142767857
Batman: Contagion,Batman,DC,34.99,504,March-2016,0.069424603
Batman: Endgame,Batman,DC,16.99,200,March-2016,0.08495
CIvil War Fantastic Four,Fantastic Four,Marvel,24.99,176,March-2016,0.141988636
Civil War Punisher War Journal,Punisher,Marvel,24.99,184,March-2016,0.135815217
Civil War X-Men,X-Men,Marvel,24.99,232,March-2016,0.107715517
Civil War Young Avengers and Runaways,Other,Marvel,19.99,160,March-2016,0.1249375
Civil War: Black Panther,Black Panther,Marvel,19.99,168,March-2016,0.118988095
Civil War: Captain America/Iron Man,Other,Marvel,24.99,224,March-2016,0.1115625
CIvil War: Front Line,Other,Marvel,34.99,360,March-2016,0.097194444
CIvil War: Heroes for Hire/Thunderbolts,Other,Marvel,34.99,240,March-2016,0.145791667
CIvil War: House of M,Magneto,Marvel,16.99,120,March-2016,0.141583333
CIvil War: Marvel Universe,Other,Marvel,24.99,128,March-2016,0.195234375
Civil War: New Avengers,Other,Marvel,16.99,120,March-2016,0.141583333
"Civil War: Peter Parker, Sensational Spider-Man",Spider-Man,Marvel,24.99,168,March-2016,0.14875
Cvil War Wolverine,Wolverine,Marvel,24.99,168,March-2016,0.14875
Rocket Raccoon: Storytailer,Rocket Raccoon,Marvel,17.99,136,March-2016,0.132279412
Superior Iron Man: Stark Contrast,Iron Man,Marvel,19.99,136,March-2016,0.146985294
X-Men '92,X-Men,Marvel,16.99,128,March-2016,0.132734375
Mrs. Deadpool and the Howling Commandos,Mrs. Deadpool,Marvel,15.99,112,April-2016,0.142767857
